caseid,humanori,atlantis,posthink,fortunet,astrolog,haunting,dreams,ufos,bigfoot,WATCH_TA,WATCH_CO,WATCH_TR,WATCH_CR
53,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Rarely,Rarely,Never,Rarely
54,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Rarely,Rarely,Rarely,Sometimes
55,,,,,,,,,,,,,
56,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Rarely,Sometimes,Never,Often
57,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Never,Never,Often,Very often
59,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
60,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Sometimes,Sometimes,Rarely,Very often
61,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Sometimes,Sometimes,Rarely,Never
62,"God created man pretty much in his present form at one time within the last 10,000 years",,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Often,Often,Sometimes,Sometimes
63,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Often,Sometimes,Rarely,Rarely
64,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Often,Often,Sometimes,Often
65,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Rarely,Never,Sometimes,Very often
66,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Never,Sometimes,Sometimes,Never
67,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Rarely,Rarely,Rarely,Rarely
68,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Often,Often,Sometimes,Very often
69,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Agree,Sometimes,Rarely,,Very often
70,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Sometimes,Sometimes,Often,Sometimes
71,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Sometimes,Very often,Very often,Often
72,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Never,Never,Often,Rarely
73,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Rarely,Rarely,Rarely,Sometimes
74,,,,,,,,,,Rarely,Sometimes,Rarely,Often
75,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Often,Rarely
76,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
77,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Very often,Never,Never,Often
78,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Rarely,Never,Never,Never
79,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
80,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Rarely,Rarely
81,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Rarely,Rarely,Rarely,Often
82,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Rarely,Rarely,Rarely,Never
83,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",,,,,,,,,,,,
84,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,,Rarely,Sometimes,Sometimes
85,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Sometimes,Rarely
86,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Sometimes,Rarely,Rarely,Often
87,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Rarely,Rarely,Sometimes,Sometimes
88,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Rarely,Sometimes,Rarely,Sometimes
89,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
90,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
91,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Often,Never
92,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Rarely,Rarely,Rarely,Rarely
94,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Never,Never,Never,Never
96,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Often,Never,Rarely,Never
97,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Rarely,Rarely,Sometimes,Often
98,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Never,Never,Never,Never
99,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Rarely,Very often,Sometimes,Very often
100,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Rarely,Rarely,Sometimes,Sometimes
102,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Rarely,Never,Rarely,Rarely
103,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Never,Rarely,Never,Never
104,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,,Sometimes,Rarely,Often
105,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Sometimes,Often,Very often,Very often
106,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Disagree,Rarely,Sometimes,Sometimes,Very often
107,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Often,Rarely,Rarely,Never
108,,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Often,Rarely,Often,Often
109,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Never,Rarely,Often
110,Man has developed over millions of years from less advanced forms of life. God had no part in this process,,,,,,,,,,,,
111,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Rarely,Sometimes,Never,Sometimes
112,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Rarely,Sometimes,Never,Sometimes
113,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Never,Rarely,Sometimes,Often
114,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,,Agree,Agree,Rarely,Sometimes,Sometimes,Very often
115,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Never,Sometimes,Very often
117,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Rarely,Never,Never
118,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Rarely,Sometimes,Often,Often
119,,,,,,,,,,Rarely,Rarely,Sometimes,Rarely
120,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Agree,Disagree,Rarely,Very often,Rarely,Never
121,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Sometimes,Often,Rarely,Often
122,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Often,Often,Often,Often
123,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Very often,Very often,Very often,Very often
124,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes
125,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Never,Rarely,Rarely
126,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Never,Sometimes,Sometimes,Very often
127,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Rarely,Rarely,Often,Rarely
128,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Rarely,Sometimes,Rarely,Sometimes
129,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Rarely,Rarely,Sometimes,Sometimes
130,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Agree,Disagree,Disagree,,Disagree,Disagree,Disagree,Never,Never,Very often,Never
131,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,Sometimes
132,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Rarely,Sometimes,Sometimes,Rarely
133,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Sometimes,Often,Rarely,Often
134,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Sometimes,Often
135,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Never,Never,Rarely,Never
136,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Never,Sometimes,Sometimes,Sometimes
137,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Sometimes,Rarely,Sometimes,Rarely
138,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
139,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Strongly disagree,,Agree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
140,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Never,Never,Never,Often
141,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Sometimes,Rarely,Sometimes,Very often
142,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Often,Rarely,Sometimes,Sometimes
143,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Very often,Never,Sometimes,Very often
144,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Rarely,Never,Rarely,Never
145,Man has developed over millions of years from less advanced forms of life. God had no part in this process,,,,,,,,,,,,
146,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Rarely,Rarely,Rarely,Rarely
147,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Often,Often,Sometimes,Never
148,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Rarely,Sometimes,Sometimes,Sometimes
149,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Very often,Rarely,Never,Never
150,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Sometimes,Often,Sometimes,Very often
151,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Rarely
152,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Never,Rarely,Never,Never
153,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Sometimes,Often,Rarely,Sometimes
154,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Rarely,Rarely
155,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Often,Often,Very often,Sometimes
156,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Disagree,Disagree,,Agree,Agree,Strongly disagree,Disagree,Sometimes,Rarely,Rarely,Very often
157,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very often,Often,Sometimes,Often
158,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Rarely,Never,Sometimes,Often
159,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Rarely,Never,Never,Often
160,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Never,Sometimes,Rarely,Sometimes
161,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Sometimes,Never,Sometimes,Rarely
162,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Rarely,Rarely,Rarely,Rarely
163,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Never,Very often,Never,Sometimes
