HRS1,marital,childs,age,educ,sex,born,income,region,partyid,polviews,attend,pray
60,Married,5,54,2 years,Male,Yes,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)","Moderate, middle of the road",Never,Once a day
60,Married,1,48,2 years,Male,Yes,"$25,000 or over",Middle Atlantic,"Independent, close to Republican","Moderate, middle of the road",Several times a year,Never
40,Married,6,51,6th grade,Male,No,"$25,000 or over",Middle Atlantic,Not very strong Democrat,Slightly conservative,Every week,Once a day
60,Married,2,54,10th grade,Male,Yes,"$25,000 or over",Middle Atlantic,Strong Democrat,Liberal,Never,Once a day
40,Never married,0,45,2 years,Female,Yes,"$25,000 or over",New England,"Independent (Neither, No response)",Liberal,Never,Never
48,Never married,0,23,2 years,Male,Yes,"$25,000 or over",New England,"Independent, close to Democrat",Slightly liberal,Once a year,Less than once a week
40,Divorced,1,63,1 year of college,Female,Yes,"$25,000 or over",New England,Strong Democrat,Conservative,Every week,Once a day
40,Never married,0,45,8 years,Female,Yes,"$25,000 or over",Pacific,Strong Democrat,Liberal,Never,Several times a week
50,Married,0,55,2 years,Male,Yes,"$25,000 or over",Pacific,Not very strong Republican,Conservative,Never,Never
40,Divorced,0,71,6 years,Female,Yes,"$25,000 or over",Pacific,Not very strong Republican,Slightly conservative,Never,Several times a day
60,Never married,0,37,2 years,Male,Yes,"$25,000 or over",Pacific,"Independent, close to Democrat",Liberal,Never,Never
48,Never married,1,46,12th grade,Male,Yes,"$25,000 or over",Pacific,"Independent, close to Democrat",Liberal,Never,Several times a week
40,Divorced,2,62,12th grade,Male,No,"$25,000 or over",Pacific,Not very strong Democrat,"Moderate, middle of the road",Less than once a year,Once a day
40,Divorced,4,48,6 years,Male,Yes,"$25,000 or over",Pacific,"Independent, close to Democrat",Slightly liberal,Once a month,Several times a day
40,Never married,0,31,2 years,Male,Yes,"$25,000 or over",Pacific,"Independent, close to Republican","Moderate, middle of the road",Several times a year,Several times a week
40,Never married,0,37,6 years,Male,Yes,"$25,000 or over",Pacific,Strong Democrat,Slightly liberal,Every week,Several times a day
40,Never married,1,36,1 year of college,Female,Yes,"$25,000 or over",Pacific,Strong Democrat,Liberal,Several times a year,Several times a week
45,Married,2,46,6 years,Male,Yes,"$25,000 or over",Pacific,"Independent, close to Democrat",Slightly liberal,Every week,Several times a day
40,Married,4,50,9th grade,Male,No,"$25,000 or over",Pacific,"Independent (Neither, No response)",Slightly conservative,Once a month,Once a day
32,Separated,3,34,11th grade,Female,Yes,"$25,000 or over",Pacific,"Independent, close to Democrat",Liberal,Several times a year,Less than once a week
50,Married,2,35,6th grade,Male,No,"$25,000 or over",Pacific,Not very strong Democrat,Slightly conservative,Once a year,Several times a week
40,Married,4,35,11th grade,Female,No,"$25,000 or over",Pacific,Strong Democrat,"Moderate, middle of the road",Once a month,Once a day
65,Married,2,46,6 years,Male,Yes,"$25,000 or over",Pacific,"Independent, close to Democrat","Moderate, middle of the road",Never,Never
40,Separated,0,41,2 years,Female,Yes,"$25,000 or over",Pacific,Strong Democrat,Slightly liberal,Once a year,Less than once a week
37,Married,0,56,6 years,Male,Yes,"$25,000 or over",Pacific,"Independent, close to Republican","Moderate, middle of the road",Several times a year,Several times a week
40,Never married,0,24,6 years,Female,Yes,"$25,000 or over",Pacific,Not very strong Democrat,Slightly liberal,Never,Several times a week
45,Married,0,69,2 years,Male,Yes,"$25,000 or over",Pacific,Strong Democrat,Slightly liberal,Several times a year,Less than once a week
40,Married,1,41,6 years,Female,Yes,"$25,000 or over",Pacific,Not very strong Democrat,Liberal,Two to three times a month,Once a day
40,Never married,0,30,6 years,Female,Yes,"$25,000 or over",Pacific,"Independent, close to Democrat",Liberal,Less than once a year,Less than once a week
40,Never married,0,19,12th grade,Male,Yes,"$25,000 or over",Pacific,"Independent (Neither, No response)","Moderate, middle of the road",Once a year,Never
60,Never married,1,51,6 years,Female,Yes,"$25,000 or over",Pacific,Not very strong Democrat,"Moderate, middle of the road",Less than once a year,Less than once a week
1,Married,2,61,7 years,Female,Yes,"$25,000 or over",Pacific,Not very strong Republican,"Moderate, middle of the road",Never,Several times a week
44,Married,3,45,1 year of college,Female,No,"$25,000 or over",Pacific,Not very strong Democrat,"Moderate, middle of the road",Every week,Once a day
40,Married,3,58,2nd grade,Male,No,"$25,000 or over",Pacific,Not very strong Democrat,"Moderate, middle of the road",Once a year,Never
50,Married,2,58,6 years,Female,No,"$25,000 or over",Pacific,Strong Republican,Slightly conservative,Once a year,Once a week
48,Married,3,72,6 years,Male,Yes,"$25,000 or over",Pacific,"Independent, close to Republican",Conservative,Never,Several times a week
50,Divorced,1,45,12th grade,Female,Yes,"$25,000 or over",Pacific,"Independent, close to Republican","Moderate, middle of the road",Once a year,Several times a week
40,Married,0,58,1 year of college,Male,Yes,"$25,000 or over",Pacific,"Independent (Neither, No response)","Moderate, middle of the road",Never,Once a week
60,Divorced,1,43,2 years,Male,Yes,"$25,000 or over",Pacific,"Independent (Neither, No response)",Slightly liberal,Once a year,Less than once a week
40,Married,4,25,10th grade,Female,Yes,"$20,000 to 24,999",Pacific,"Independent (Neither, No response)",Slightly liberal,Every week,Several times a day
40,Married,3,46,6 years,Female,Yes,"$25,000 or over",Pacific,Strong Republican,Slightly conservative,Once a month,Once a day
40,Married,2,43,6 years,Male,Yes,"$25,000 or over",Pacific,"Independent, close to Republican","Moderate, middle of the road",Less than once a year,Less than once a week
40,Divorced,2,48,12th grade,Male,Yes,"$25,000 or over",Pacific,Strong Democrat,"Moderate, middle of the road",Several times a year,Less than once a week
40,Never married,2,48,12th grade,Female,Yes,"$25,000 or over",Pacific,Not very strong Democrat,"Moderate, middle of the road",Less than once a year,Once a day
40,Divorced,5,50,2 years,Female,Yes,"$25,000 or over",Pacific,Strong Democrat,"Moderate, middle of the road",Two to three times a month,Several times a day
45,Married,0,30,1 year of college,Male,No,"$25,000 or over",Pacific,"Independent (Neither, No response)",Liberal,Never,Never
50,Married,2,32,7 years,Male,Yes,"$25,000 or over",Pacific,Not very strong Democrat,"Moderate, middle of the road",Once a year,Once a day
30,Separated,2,26,12th grade,Female,No,"$25,000 or over",Pacific,"Independent, close to Democrat","Moderate, middle of the road",Never,Never
48,Married,1,38,8 years,Male,Yes,"$25,000 or over",Pacific,"Other party, refused to say",Slightly conservative,Never,Never
40,Married,3,39,10th grade,Female,No,"$25,000 or over",Pacific,"Independent (Neither, No response)",Slightly conservative,Once a month,Several times a day
65,Never married,1,31,10th grade,Male,Yes,"$25,000 or over",East North Central,"Independent, close to Republican","Moderate, middle of the road",Never,Several times a week
42,Married,1,31,3 years,Female,Yes,"$25,000 or over",East North Central,"Independent (Neither, No response)",Slightly liberal,Never,Once a week
35,Never married,0,26,12th grade,Male,Yes,"$25,000 or over",East North Central,"Independent, close to Democrat",Liberal,Once a year,Several times a week
60,Married,2,60,6 years,Male,Yes,"$25,000 or over",East North Central,Strong Democrat,Liberal,Two to three times a month,Several times a week
40,Never married,0,43,6 years,Female,Yes,"$25,000 or over",East North Central,"Independent (Neither, No response)",Slightly conservative,Several times a year,Never
40,Divorced,0,65,6 years,Male,Yes,"$25,000 or over",East North Central,Strong Democrat,Liberal,Once a year,Never
40,Divorced,0,34,7 years,Female,No,"$25,000 or over",East North Central,Not very strong Democrat,"Moderate, middle of the road",Several times a year,Once a day
47,Married,0,30,8 years,Female,Yes,"$25,000 or over",East North Central,"Independent (Neither, No response)",Slightly liberal,Several times a year,Several times a week
54,Divorced,3,46,12th grade,Female,Yes,"$25,000 or over",East North Central,Strong Democrat,"Moderate, middle of the road",Once a year,Several times a day
40,Never married,0,25,12th grade,Male,Yes,"$7,000 to 7,999",East North Central,"Independent (Neither, No response)",Liberal,Never,Less than once a week
40,Never married,4,31,10th grade,Female,No,"$10,000 to 14,999",East North Central,"Independent, close to Republican",Extremely conservative,Every week,Several times a day
40,Married,3,33,12th grade,Male,No,"$25,000 or over",East North Central,"Independent, close to Democrat","Moderate, middle of the road",Never,Once a day
40,Married,0,58,6 years,Male,Yes,"$25,000 or over",East North Central,"Independent, close to Democrat","Moderate, middle of the road",Several times a year,Once a day
32,Married,1,54,2 years,Female,No,"$25,000 or over",East North Central,"Independent (Neither, No response)","Moderate, middle of the road",Several times a year,Once a day
51,Married,4,66,3 years,Male,No,"$25,000 or over",East North Central,Not very strong Democrat,Slightly liberal,Two to three times a month,Several times a day
40,Never married,0,53,12th grade,Female,Yes,"$25,000 or over",East North Central,Not very strong Democrat,"Moderate, middle of the road",Once a year,Once a day
40,Married,2,41,6 years,Male,No,"$25,000 or over",East North Central,Not very strong Democrat,"Moderate, middle of the road",Once a month,Several times a day
48,Never married,1,23,1 year of college,Female,Yes,"$10,000 to 14,999",East North Central,Not very strong Republican,Liberal,Less than once a year,Never
40,Never married,0,39,6 years,Female,No,"$3,000 to 3,999",East North Central,"Independent, close to Democrat",Slightly liberal,Once a year,Once a day
60,Married,3,50,6 years,Male,Yes,"$25,000 or over",East North Central,Not very strong Democrat,Liberal,Never,Never
40,Married,1,45,5 years,Female,Yes,"$25,000 or over",East North Central,"Other party, refused to say","Moderate, middle of the road",Less than once a year,Never
70,Divorced,4,47,8th grade,Male,Yes,"$25,000 or over",East North Central,Not very strong Republican,Slightly conservative,Several times a year,Never
70,Married,2,36,12th grade,Male,Yes,"$25,000 or over",East North Central,Not very strong Republican,Conservative,Nearly every week,Once a day
60,Married,3,38,3 years,Male,Yes,"$25,000 or over",East North Central,Not very strong Republican,"Moderate, middle of the road",Once a year,Less than once a week
38,Married,3,53,1 year of college,Female,Yes,"$25,000 or over",East North Central,"Other party, refused to say",Slightly liberal,Never,Several times a day
50,Married,0,29,6 years,Male,Yes,"$25,000 or over",East North Central,"Independent, close to Democrat","Moderate, middle of the road",Less than once a year,Less than once a week
48,Never married,4,35,11th grade,Female,Yes,"$5,000 to 5,999",East North Central,Not very strong Democrat,"Moderate, middle of the road",Never,Several times a week
50,Divorced,1,40,12th grade,Male,Yes,"$25,000 or over",East North Central,Strong Democrat,Slightly liberal,Less than once a year,Never
27,Married,0,32,5 years,Female,Yes,"$25,000 or over",South Atlantic,Not very strong Democrat,Extremely liberal,Never,Several times a day
40,Never married,0,30,6 years,Female,Yes,"$25,000 or over",South Atlantic,Strong Republican,Conservative,Every week,Several times a week
40,Never married,0,30,6 years,Female,Yes,"$25,000 or over",South Atlantic,"Independent, close to Republican",Slightly conservative,Less than once a year,Less than once a week
60,Married,3,49,6 years,Male,Yes,"$25,000 or over",South Atlantic,Not very strong Republican,Conservative,Every week,Several times a day
38,Married,1,58,3 years,Female,Yes,"$25,000 or over",South Atlantic,Strong Democrat,"Moderate, middle of the road",Never,Several times a day
35,Never married,0,24,6 years,Female,Yes,"$25,000 or over",South Atlantic,"Independent (Neither, No response)","Moderate, middle of the road",Every week,Once a day
50,Married,5,49,6 years,Female,Yes,"$25,000 or over",South Atlantic,Not very strong Republican,"Moderate, middle of the road",Two to three times a month,Several times a week
40,Married,2,67,8 years,Male,No,"$25,000 or over",South Atlantic,Strong Democrat,"Moderate, middle of the road",Less than once a year,Once a day
89,Married,3,65,3 years,Male,Yes,"$25,000 or over",South Atlantic,Strong Democrat,Slightly conservative,Less than once a year,Less than once a week
50,Married,0,52,12th grade,Male,Yes,"$25,000 or over",South Atlantic,Strong Republican,Conservative,Two to three times a month,Several times a day
50,Married,3,60,1 year of college,Male,Yes,"$25,000 or over",South Atlantic,"Independent, close to Democrat",Liberal,Never,Never
50,Married,4,49,6 years,Male,Yes,"$25,000 or over",South Atlantic,Not very strong Republican,Slightly conservative,More than once a week,Several times a day
40,Married,1,36,6 years,Female,Yes,"$25,000 or over",South Atlantic,Not very strong Republican,"Moderate, middle of the road",Several times a year,Once a day
50,Never married,0,19,10th grade,Male,Yes,"$25,000 or over",South Atlantic,"Independent, close to Democrat","Moderate, middle of the road",Once a year,Less than once a week
80,Married,2,33,12th grade,Male,No,"$25,000 or over",South Atlantic,"Independent (Neither, No response)",Liberal,More than once a week,Once a day
49,Never married,1,38,3 years,Female,No,"$25,000 or over",South Atlantic,Not very strong Democrat,"Moderate, middle of the road",Several times a year,Once a day
50,Divorced,3,55,12th grade,Male,Yes,"$25,000 or over",South Atlantic,Strong Democrat,Liberal,Once a year,Several times a day
40,Never married,0,22,2 years,Female,Yes,"$25,000 or over",South Atlantic,Not very strong Democrat,Liberal,Nearly every week,Once a day
40,Never married,0,27,3 years,Male,No,"$25,000 or over",South Atlantic,"Independent (Neither, No response)","Moderate, middle of the road",Never,Never
60,Divorced,2,36,8 years,Female,Yes,"$25,000 or over",South Atlantic,"Independent, close to Democrat","Moderate, middle of the road",Every week,Once a day
40,Never married,0,64,6 years,Female,Yes,"$25,000 or over",South Atlantic,Not very strong Democrat,Liberal,Once a year,Once a day
60,Divorced,3,58,12th grade,Male,Yes,"$25,000 or over",South Atlantic,"Independent, close to Republican",Conservative,Two to three times a month,Once a day
42,Married,4,52,2 years,Female,Yes,"$25,000 or over",South Atlantic,"Independent, close to Democrat",Extremely conservative,Every week,Once a day
45,Married,2,70,6 years,Male,Yes,"$25,000 or over",South Atlantic,Strong Democrat,Extremely liberal,Less than once a year,Never
40,Never married,0,63,8 years,Male,Yes,"$25,000 or over",South Atlantic,Not very strong Republican,Slightly liberal,Less than once a year,Less than once a week
50,Married,1,31,6 years,Female,Yes,"$25,000 or over",South Atlantic,"Other party, refused to say",Slightly conservative,Every week,Once a day
40,Married,1,60,8 years,Female,Yes,"$25,000 or over",South Atlantic,"Independent, close to Democrat","Moderate, middle of the road",Every week,Once a day
1,Married,0,34,6 years,Female,Yes,"$25,000 or over",South Atlantic,Strong Democrat,Slightly liberal,Every week,Once a day
50,Married,1,35,7 years,Male,No,"$25,000 or over",South Atlantic,"Independent, close to Democrat",Slightly liberal,Nearly every week,Once a week
37,Never married,3,72,1 year of college,Female,Yes,"$25,000 or over",South Atlantic,Strong Democrat,Conservative,Every week,Several times a day
40,Divorced,1,38,5 years,Female,Yes,"$25,000 or over",South Atlantic,Not very strong Democrat,Slightly conservative,Once a month,Once a day
60,Never married,0,40,6 years,Female,Yes,"$25,000 or over",South Atlantic,Not very strong Democrat,"Moderate, middle of the road",Once a year,Once a day
45,Married,0,35,5 years,Female,No,"$25,000 or over",South Atlantic,Not very strong Democrat,Slightly liberal,Every week,Several times a day
40,Widowed,1,62,1 year of college,Female,Yes,"$25,000 or over",South Atlantic,Strong Democrat,"Moderate, middle of the road",More than once a week,Once a day
40,Never married,0,32,1 year of college,Male,Yes,"$25,000 or over",South Atlantic,Not very strong Democrat,"Moderate, middle of the road",Every week,Several times a day
40,Never married,2,44,8 years,Male,Yes,"$25,000 or over",South Atlantic,"Other party, refused to say",Slightly liberal,Never,Never
40,Married,1,57,8 years,Female,No,"$25,000 or over",South Atlantic,Not very strong Democrat,Slightly liberal,Once a year,Never
42,Married,0,39,3 years,Male,Yes,"$25,000 or over",South Atlantic,"Independent, close to Republican",Slightly conservative,Nearly every week,Once a day
40,Married,7,52,3 years,Male,No,"$25,000 or over",South Atlantic,"Independent, close to Democrat","Moderate, middle of the road",Every week,Once a day
45,Never married,0,25,6 years,Male,No,"$25,000 or over",South Atlantic,Not very strong Democrat,"Moderate, middle of the road",Nearly every week,Several times a week
66,Married,0,41,11th grade,Male,Yes,"$25,000 or over",South Atlantic,"Independent, close to Republican","Moderate, middle of the road",Several times a year,Once a day
60,Married,0,56,6 years,Male,Yes,"$25,000 or over",South Atlantic,Not very strong Republican,Conservative,Less than once a year,Several times a day
60,Married,1,45,12th grade,Male,Yes,"$25,000 or over",South Atlantic,Not very strong Republican,"Moderate, middle of the road",Less than once a year,Several times a day
60,Never married,0,25,6 years,Female,Yes,"$25,000 or over",New England,Not very strong Democrat,Liberal,Never,Never
15,Never married,0,24,6 years,Male,Yes,"$25,000 or over",New England,Strong Democrat,Slightly liberal,Less than once a year,Never
45,Married,0,36,8 years,Male,Yes,"$25,000 or over",New England,Not very strong Democrat,"Moderate, middle of the road",Never,Never
40,Never married,0,65,12th grade,Male,Yes,"$25,000 or over",New England,"Independent, close to Democrat",Liberal,Several times a year,Several times a week
50,Never married,0,44,5 years,Male,Yes,"$25,000 or over",New England,"Independent, close to Republican",Slightly conservative,Several times a year,Never
60,Married,2,65,5 years,Male,Yes,"$25,000 or over",New England,Not very strong Democrat,Liberal,More than once a week,Several times a day
40,Married,0,60,8 years,Female,Yes,"$25,000 or over",New England,Strong Democrat,Liberal,Once a year,Less than once a week
40,Married,1,50,6 years,Male,Yes,"$25,000 or over",New England,"Independent, close to Democrat",Liberal,Several times a year,Never
45,Married,0,32,8 years,Male,Yes,"$25,000 or over",New England,Not very strong Democrat,Extremely liberal,Several times a year,Once a week
50,Married,0,28,6 years,Male,Yes,"$25,000 or over",New England,"Independent, close to Democrat",Slightly liberal,Once a year,Never
40,Married,2,45,6 years,Female,Yes,"$25,000 or over",New England,"Independent, close to Republican","Moderate, middle of the road",Once a month,Once a day
40,Married,0,60,12th grade,Male,No,"$10,000 to 14,999",New England,Strong Democrat,Liberal,Once a month,Several times a week
42,Never married,0,28,6 years,Male,Yes,"$25,000 or over",New England,"Independent, close to Democrat","Moderate, middle of the road",Never,Never
47,Never married,0,24,5 years,Female,Yes,"$25,000 or over",New England,"Independent, close to Democrat","Moderate, middle of the road",Once a year,Less than once a week
48,Divorced,1,40,2 years,Female,Yes,"$25,000 or over",New England,"Independent, close to Republican","Moderate, middle of the road",Less than once a year,Several times a week
40,Married,2,55,6 years,Female,Yes,"$25,000 or over",New England,"Independent (Neither, No response)","Moderate, middle of the road",Every week,Several times a week
40,Divorced,3,52,6 years,Female,Yes,"$25,000 or over",New England,Not very strong Democrat,Slightly liberal,Never,Less than once a week
