X,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
8411,US,Stewed fig and blackberry aromas meet a dried herb accent on the nose. The full-bodied palate brings additional notes of blueberry jam blended with tarragon and marjoram. It's an easy sipper for a ruby Port-style wine made from Chambourcin.,Cathermsn's,85,16,Michigan,Lake Michigan Shore,,Alexander Peartree,,St. Julian NV Cathermsn's Port (Lake Michigan Shore),Port,St. Julian
8413,US,"This Bordeaux-style red blend from Northern Michigan sees 14 months in a mÃ©lange of oak: American, Hungarian and French. Charred red berries and cherries meet toasted savory herb notes on the nose. The medium-bodied palate brings fresher fruit tones, lightly supported by gossamer tannins and sharp acidity.",,85,20,Michigan,Michigan,,Alexander Peartree,,Mackinaw Trail 2012 Cabernet Merlot (Michigan),Cabernet Merlot,Mackinaw Trail
8432,US,"This brut sparkler is made from Chambourcin, a hybrid grape of uncertain parentage. Fresh figs and dates come to mind on the nose, while the linear palate is persistently citrus-driven.",Franken's French Hybrid Brut,85,32,Illinois,Illinois,,Alexander Peartree,,Illinois Sparkling Co. NV Franken's French Hybrid Brut Sparkling (Illinois),Sparkling Blend,Illinois Sparkling Co.
9425,US,"A scent of tar hits the nose first, followed by whiffs of raisin, brown spice and vanilla. The attack on this wine feels flat and flaccid, but the tannins pick up slightly on the midpalate, which lends it some structure.",Dry,82,12,Missouri,Missouri,,,,Mount Pleasant Winery NV Dry Norton (Missouri),Norton,Mount Pleasant Winery
15235,US,"While the aromas of white strawberry, passion fruit preserves and citrus are soft spoken, they increase in intensity on the palate. Relatively low in alcohol, with sweetness and bright acidity, this should pair well with exotic, slightly spicy fare, like curried chicken with mango chutney.",Reserve Lot 907,86,15,Ohio,Grand River Valley,,,,DebonnÃ© 2009 Reserve Lot 907 Riesling (Grand River Valley),Riesling,DebonnÃ©
15238,US,"While this is full bodied, with an unctuous quality, it has plenty of acidity to keep the palate feeling lively and defined. The notes of butterscotch, candied apple and citrus blossom are pleasing, leading to a brisk and slightly warm finish.",Estates,86,21,Missouri,Augusta,,,,Mount Pleasant Winery 2010 Estates Vignoles (Augusta),Vignoles,Mount Pleasant Winery
16542,US,"Sweet butter and caramel notes linger amidst smoke and char on this unabashedly oaky, full-bodied Iowa Seyval Blanc. Savory pressed apple flavors are pleasant but subdued.",,84,16,Iowa,Iowa,,Anna Lee C. Iijima,,Jasper 2007 Seyval Blanc (Iowa),Seyval Blanc,Jasper
17059,US,"Streamlined and racy, this nonvintage wine is succinct and to the point. Cranberry and brambly raspberry tones are fresh and lively yet shortlived in this everyday sipper.",,85,25,Michigan,Leelanau Peninsula,,Alexander Peartree,,Bel Lago NV Pinot Noir (Leelanau Peninsula),Pinot Noir,Bel Lago
17075,US,"This Chardonnay pays homage to the winemaker's wife and business partner, Rae Lee, who unfortunately passed away from breast cancer in 2009. This is an enjoyable showing, displaying lemon and peach tones over a core of creamed corn. Having spent six months in neutral French oak, the palate shows a bit of breadth, balanced by lively acidity.",Cuvee Rae Lee Avonlea,85,25,Michigan,Lake Michigan Shore,,Alexander Peartree,,Wyncroft 2013 Cuvee Rae Lee Avonlea Chardonnay (Lake Michigan Shore),Chardonnay,Wyncroft
17199,US,"Bright and lifted on the nose, this bears aromas of lemon peel, green apple and white peach, with accents of honeyed nut and wilted rose. The flavors mirror the aromas, showing very good concentration and lively acidity. The medium-long finish is zesty, warm and fresh.",Proprietor's Reserve,86,20,Michigan,Old Mission Peninsula,,,,Chateau Chantal 2010 Proprietor's Reserve Pinot Gris (Old Mission Peninsula),Pinot Gris,Chateau Chantal
19566,US,"Fruits, flowers and spice should lead the nose and bathe the palate with this Nebbiolo, but the wine falls flat, with bitter, sweet flavors that are astringent in nature and lack elegance.",Estate Bottled,80,15,Ohio,Ohio,,Susan Kostrzewa,@suskostrzewa,Hermes 2006 Estate Bottled Nebbiolo (Ohio),Nebbiolo,Hermes
23516,US,"A blend of Vignoles and Vidal Blanc, this wine is mildly aromatic, with white peach, apple and orange tones. Light bodied and semisweet in style, the palate brings juicy red apple and pear into the mix, balanced by a tropical-citrus twang.",White Ibis Sweet,86,14,Michigan,Michigan,,Alexander Peartree,,Mackinaw Trail NV White Ibis Sweet White (Michigan),White Blend,Mackinaw Trail
23802,US,"Nicely concentrated aromas of black currants meet tobacco, bell pepper and pencil lead on the nose. There's great verve and tenison on the medium-bodied palate, with tart blackberries against a backdrop of graphite and cocoa dust.",,89,45,Michigan,Leelanau Peninsula,,Alexander Peartree,,Gill's Pier 2012 Cabernet Franc-Merlot (Leelanau Peninsula),Cabernet Franc-Merlot,Gill's Pier
27209,US,Faint strawberry and raspberry on the nose turns to a shock of sour cherry on the palate. The acids are alive and kicking in this 100% Frontenac sparkling wine.,Dollface RosÃ©,83,32,Illinois,Illinois,,Alexander Peartree,,Illinois Sparkling Co. NV Dollface RosÃ© Sparkling (Illinois),Sparkling Blend,Illinois Sparkling Co.
27214,US,"Made from Norton, this Port-style wine is dark and brooding, with cooked-down blackberries, tar and sanguine tones on the nose and palate. Thick, tannic and astringent, this might be best alongside an equally rich fillet with blue cheese crumbles.",,83,20,Missouri,Augusta,,Alexander Peartree,,Mount Pleasant Winery 2008 Port (Augusta),Port,Mount Pleasant Winery
27215,US,"A citrus-rind aroma takes on an earthy bee-pollen tone on the nose. A streamlined and citric palate shows a mild tropical fruit flavor, while racing towards an off-dry finish.",Braganini Reserve,83,15,Michigan,Michigan,,Alexander Peartree,,St. Julian 2013 Braganini Reserve Traminette (Michigan),Traminette,St. Julian
29713,US,"The nose is mildly expressive, with zesty lemon in the forefront. The palate is a shows more intensity, offering juicy peach notes supported by a silky texture. Having spent eight months in 35% new oak, this trends toward a fruitier-style Chardonnay, with oak lending textural support.",Barrel Reserve,86,22,Michigan,Old Mission Peninsula,,Alexander Peartree,,Hawthorne 2013 Barrel Reserve Chardonnay (Old Mission Peninsula),Chardonnay,Hawthorne
29720,US,"Initial notes of yeasty citrus are lifted by pear and white blossom on the nose. The citrus-driven palate brings additional blossomy tones alongside Gala apple, with a slight undercurrent of bitter grapefruit pith. Light, fresh and clean, this sparkling GrÃ¼ner is an attractive option as an apÃ©ritif.",Scriptorium Sezession Brut Sparkling,86,26,Michigan,Old Mission Peninsula,,Alexander Peartree,,Mari 2013 Scriptorium Sezession Brut Sparkling GrÃ¼ner Veltliner (Old Mission Peninsula),GrÃ¼ner Veltliner,Mari
29733,US,"Pert and juicy in feel, overripe lemon and peach tones mark the nose and palate. This is enjoyable but not overly engaging or long lasting on the palate.",Semi-Sweet,85,20,Michigan,Leelanau Peninsula,,Alexander Peartree,,Laurentide 2013 Semi-Sweet Riesling (Leelanau Peninsula),Riesling,Laurentide
31278,US,"Incredibly pure and pristine on the nose, notes of citrus cream, sea spray and white flowers hover over a base of white peach in this northern Michigan Chardonnay. With two years in French oak (25% new) and extended lees aging, the palate is round and sultry, boasting lightly brÃ»lÃ©ed lemon and zesty mineral notes that build to toasted hazelnut. A preserved-lemon finish lingers and leaves the palate wanting more. In time, the acidity will soften and this wine will truly sing. Drink nowâ€“2018.",,91,28,Michigan,Leelanau Peninsula,,Alexander Peartree,,Bel Lago 2013 Chardonnay (Leelanau Peninsula),Chardonnay,Bel Lago
33323,US,"An inventive blend of Catawba and Marachel Foch, a French-American hybrid between Goldriesling and an American vine called vitis riparia, this rosÃ© has a heavily perfumed nose and a slightly clumsy combination of sweetness and spicy red. Still, the wine has a fresh finish and some structure that recommends it to myriad food pairings.",J-W,84,13,Iowa,Iowa,,Susan Kostrzewa,@suskostrzewa,Jasper NV J-W RosÃ© (Iowa),RosÃ©,Jasper
34788,US,"Fruity and floral smelling, this has key aromas of Fruit Loops, orange blossom and apricot, with graham cracker and peanut shell subtleties. It tastes off-dry, with an unctuous feel, finishing with some cling and a zingy citrus-zest flavor.",La Belle Semi Dry,85,8,Missouri,Missouri,,,,Les Bourgeois 2011 La Belle Semi Dry White (Missouri),White Blend,Les Bourgeois
34808,US,"Soft on entrance, this gains acidic steam across the palate, which drives the dialed-down flavors of berry and prune. With its modest alcohol content, this would make for a good match with a peppered roast-beef sandwich or other casual fare.",Estates,84,35,Missouri,Missouri,,,,Mount Pleasant Winery 2008 Estates Norton (Missouri),Norton,Mount Pleasant Winery
35247,US,"Raspberry preserves with whiffs of violet and white pepper mark the nose. A medium-bodied palate of red currant and blueberry meet twiggy flavors, carried by sharp acidity and grainy tannins.",La Blonde Chris Glenn Vineyard,83,50,Michigan,Lake Michigan Shore,,Alexander Peartree,,Nathaniel Rose 2013 La Blonde Chris Glenn Vineyard Syrah (Lake Michigan Shore),Syrah,Nathaniel Rose
35266,US,"Not overly expressive on the nose or palate, this Chardonnay brings muddled citron and salty cheese rind notes into the mix. Light in style, the acids are a bit sharp come the short finish.",Barrel Fermented,82,49,Michigan,Lake Michigan Shore,,Alexander Peartree,,Three Fires 2013 Barrel Fermented Chardonnay (Lake Michigan Shore),Chardonnay,Three Fires
35268,US,"Ruddy black plum and cocoa notes finally emerge with copious swirling in the glass under a blanket of VA. The palate feels a bit tart and astringent, with dark plum-skin flavors dominating.",Reserve,82,48,Michigan,Lake Michigan Shore,,Alexander Peartree,,Three Fires 2010 Reserve Merlot (Lake Michigan Shore),Merlot,Three Fires
37949,US,"This brut sparkler is made from Chambourcin, a hybrid grape of uncertain parentage. Fresh figs and dates come to mind on the nose, while the linear palate is persistently citrus-driven.",Franken's French Hybrid Brut,85,32,Illinois,Illinois,,Alexander Peartree,,Illinois Sparkling Co. NV Franken's French Hybrid Brut Sparkling (Illinois),Sparkling Blend,Illinois Sparkling Co.
38705,US,"Subtly scented with orange rind and spice, this dry Michigan Riesling has pleasant apple and orange zest flavors accented by brisk black tea notes that leave a pronounced astringency on the palate. An easy-drinking choice from an up-and-coming wine region.",Dry,83,13,Michigan,Old Mission Peninsula,,Anna Lee C. Iijima,,Chateau Grand Traverse 2010 Dry Riesling (Old Mission Peninsula),Riesling,Chateau Grand Traverse
38708,US,"Redolent of sweet plum compote, this semidry Missouri rosÃ© made from native Catawba grapes is an interesting alternative for White Zin fans. Full bodied, with a slightly sugary palate, it finishes with a hint of that foxy Catawba musk. Drink now.",Pink Fox Foxy Sweet,83,7,Missouri,Missouri,,Anna Lee C. Iijima,,Les Bourgeois NV Pink Fox Foxy Sweet RosÃ© (Missouri),RosÃ©,Les Bourgeois
39935,US,"Friendly, appealing flavors fo pear, lychee, apple and spice give this Riesling a fun character. Fresh with a touch of sweetness, the wine is balanced by its acid and offers a pretty, lingering finish.",Reserve,84,12,Ohio,Grand River Valley,,Susan Kostrzewa,@suskostrzewa,DebonnÃ© 2008 Reserve Riesling (Grand River Valley),Riesling,DebonnÃ©
39970,US,"Floral, spicy and sweet on the nose, and with a straightforward, refreshing blend of typical Riesling flavors, this wine is dependable and pretty, and will pair well with spicy Asian and Indian cuisine. A touch sweet but clean.",,84,22,Michigan,Leelanau Peninsula,,Susan Kostrzewa,@suskostrzewa,Jana 2007 Riesling (Leelanau Peninsula),Riesling,Jana
41305,US,"Medium ruby in color, this Pinot has an overripe bramble berry aroma, with a slightly stemmy quality in the background. The light-bodied palate boasts juicy red fruits, zippy acidity and sandy tannins.",Avonlea,85,45,Michigan,Lake Michigan Shore,,Alexander Peartree,,Wyncroft 2012 Avonlea Pinot Noir (Lake Michigan Shore),Pinot Noir,Wyncroft
41306,US,"The nose shows concentrated aromas of pineapple and peach juice that carry to the thick, rich palate. A bit cloying in nature, there isn't enough acidity to create balance come the honeyed-peach finish.",Wren Song Ice Wine,85,50,Michigan,Lake Michigan Shore,,Alexander Peartree,,Wyncroft 2013 Wren Song Ice Wine Riesling (Lake Michigan Shore),Riesling,Wyncroft
41777,US,"Incredibly pure and pristine on the nose, notes of citrus cream, sea spray and white flowers hover over a base of white peach in this northern Michigan Chardonnay. With two years in French oak (25% new) and extended lees aging, the palate is round and sultry, boasting lightly brÃ»lÃ©ed lemon and zesty mineral notes that build to toasted hazelnut. A preserved-lemon finish lingers and leaves the palate wanting more. In time, the acidity will soften and this wine will truly sing. Drink nowâ€“2018.",,91,28,Michigan,Leelanau Peninsula,,Alexander Peartree,,Bel Lago 2013 Chardonnay (Leelanau Peninsula),Chardonnay,Bel Lago
41833,US,"There is a sense of restrained purity on the nose, showing unripe pear, apple skin, lemon zest and crushed stone. The palate is more evoking, offering notes of juicy apple and candied citrus that are balanced by lemon-lime acidity.",Langley Late Harvest,88,18,Michigan,Old Mission Peninsula,,Alexander Peartree,,Bowers Harbor 2013 Langley Late Harvest Riesling (Old Mission Peninsula),Riesling,Bowers Harbor
42692,US,"Friendly, appealing flavors fo pear, lychee, apple and spice give this Riesling a fun character. Fresh with a touch of sweetness, the wine is balanced by its acid and offers a pretty, lingering finish.",Reserve,84,12,Ohio,Grand River Valley,,Susan Kostrzewa,@suskostrzewa,DebonnÃ© 2008 Reserve Riesling (Grand River Valley),Riesling,DebonnÃ©
43028,US,"An earthy geranium note lingers above a core of dark cherry and raspberry on the nose. The medium-bodied palate boasts light tannins and a flavor profile of cherries, wilting red flowers and anise.",,87,29,Michigan,Old Mission Peninsula,,Alexander Peartree,,2 Lads 2013 Pinot Noir (Old Mission Peninsula),Pinot Noir,2 Lads
43046,US,"A blend of 57% Cabernet Franc, 26% BlaufrÃ¤nkish and 17% Merlot, this estate wine is overtly floral on the nose, with violet and earthy geranium on a bed of red berries. The palate is racy and lithe from pulsing acidity, yet flavors of juicy blueberry and red currant prevail and ultimately the grippy tannins balance it out.",Estate Franc 'n' Franc,87,25,Michigan,Leelanau Peninsula,,Alexander Peartree,,Shady Lane 2012 Estate Franc 'n' Franc Red (Leelanau Peninsula),Red Blend,Shady Lane
48602,US,"Medium purple in color, faint blueberry juice notes mark the nose. While the palate shows a bit more intensity in ripe fruit nature, it's a bit flabby in feel.",Single Barrel #4 Katherine's Vineyard Domaine Barrien,84,85,Michigan,Lake Michigan Shore,,Alexander Peartree,,Nathaniel Rose 2013 Single Barrel #4 Katherine's Vineyard Domaine Barrien Syrah-Viognier (Lake Michigan Shore),Syrah-Viognier,Nathaniel Rose
48622,US,"Lemon pith and ripe peach aromas are clouded under a distinctly medicinal tone of baby aspirin. While there is nice roundness to the palate and balanced acidity to boot, the flavors are mild showings of orchard fruit and lemon curd.",Wren Song,84,25,Michigan,Lake Michigan Shore,,Alexander Peartree,,Wyncroft 2013 Wren Song Riesling (Lake Michigan Shore),Riesling,Wyncroft
48778,US,"Racy, light and quite refreshing, this Cabernet Franc boasts a mild concentration of red currant, with streaks of cranberry. Flecks of granite give a lively mineral edge to the juicy, light-bodied palate.",,86,19,Michigan,Lake Michigan Shore,,Alexander Peartree,,Marland 2013 Cabernet Franc (Lake Michigan Shore),Cabernet Franc,Marland
48779,US,"There's a blanket of dusty-pollen over notions of underripe peach and green apple on the nose. The initial shock of citrus on the palate turns to juicy peach tones that ultimately turn sour. Bridging on the sweeter side of the dry category, this would be an easy quaff as an apÃ©ritif.",Dry,86,16,Michigan,Leelanau Peninsula,,Alexander Peartree,,Verterra 2013 Dry Riesling (Leelanau Peninsula),Riesling,Verterra
48780,US,"Hailing from a single vineyard in Michigan's southern AVA, this is a Cabernet Sauvignon-dominant blend (77%), with Cabernet Franc, Merlot and Petite Verdot making up the difference. This has cooked-down bramble berry aromas on the nose, and also brings to mind twings and stems. The medium-bodied palate shows a bit more character, with juicy black berry and red currant flavors elevated over green peppercorn and medium-grained tannins.",Shou,86,45,Michigan,Lake Michigan Shore,,Alexander Peartree,,Wyncroft 2012 Shou Red (Lake Michigan Shore),Bordeaux-style Red Blend,Wyncroft
48781,US,"Citrus, orchard blossoms and sea-spray aromas are lively and focused, with an almond-skin note lingering in the background. The juicy, racy, off-dry palate brings to mind talc-dusted red apple and quince, with a toasty, leesy finish.",Estate Semi-Dry,86,15,Michigan,Leelanau Peninsula,,Alexander Peartree,,Shady Lane 2013 Estate Semi-Dry Riesling (Leelanau Peninsula),Riesling,Shady Lane
48999,US,"Austere aromas of orchard blossoms ride over limestone and peach on the nose of this northern Michigan Riesling. There's breadth on the palate, giving way to ample stone-fruit flavors that are held in line against a backdrop of talc and lime. This is beautifully balanced, elegant and well integrated.",Arcturos Dry,89,19,Michigan,Old Mission Peninsula,,Alexander Peartree,,Black Star Farms 2013 Arcturos Dry Riesling (Old Mission Peninsula),Riesling,Black Star Farms
49000,US,"As the top tier wine from this producer, this Pinot sees 10 months in new French oak which gives an inital char to the nose. With time in the glass this opens with notes of coffee-dusted red and black cherries. The medium-bodied palate is round and creamy in feel, with fuzzy, crushed-velvet tannins giving texture to the ripe cherry and racy currant flavors. A dusting of cocoa closes the finish.",Artisan Series,89,60,Michigan,Old Mission Peninsula,,Alexander Peartree,,Brys 2012 Artisan Series Pinot Noir (Old Mission Peninsula),Pinot Noir,Brys
50430,US,"Pale lemon in color, with a slightly green tinge, this is a light, crisp and steely Pinot Blanc. Citrus zest and quince carry the nose and palate, making this a perfectly enjoyable everyday white.",Arcturos,86,23,Michigan,Old Mission Peninsula,,Alexander Peartree,,Black Star Farms 2013 Arcturos Pinot Blanc (Old Mission Peninsula),Pinot Blanc,Black Star Farms
53486,US,"Dark, compelling notes of espresso bean and incense, charred herb and bread hit the nose first. The palate feels full and round, and it possesses stimulating acids that give lift.",,87,20,Michigan,Lake Michigan Shore,,,,Domaine Berrien 2010 Syrah (Lake Michigan Shore),Syrah,Domaine Berrien
54106,US,"This exotic white blend from Iowa offers aromas of orange and citrus with a minerally zip, and on the palate, is a bit on the sweet and curvy side. Not terribly inspired but still pretty, it will pair well with Asian cuisine.",Black Road,83,13,Iowa,Iowa,,Susan Kostrzewa,@suskostrzewa,Jasper NV Black Road White (Iowa),White Blend,Jasper
55121,US,"Estery aromas of pear and apple mark the nose. While there's a slight roundness to the palate, sharp acids cut flavors of Granny Smith apple and candied banana short.",,85,20,Michigan,Leelanau Peninsula,,Alexander Peartree,,Verterra 2014 Pinot Blanc (Leelanau Peninsula),Pinot Blanc,Verterra
55124,US,"Bramble patch aromas evoke the entire bush: from stems to berries. A raspberry Jell-O note mingles with juicy red cherry on the light-bodied palate, making this a great crowd-pleasing wine.",Arcturos,85,29,Michigan,Michigan,,Alexander Peartree,,Black Star Farms 2012 Arcturos Cabernet Franc (Michigan),Cabernet Franc,Black Star Farms
55125,US,"There's a slight pink hue to this light-bodied white. Citrus focused and a bit blossomy, this is simple and straightforward yet perfectly enjoyable.",Arcturos,85,18,Michigan,Old Mission Peninsula,,Alexander Peartree,,Black Star Farms 2013 Arcturos Pinot Gris (Old Mission Peninsula),Pinot Gris,Black Star Farms
55127,US,"Blending 75% Cabernet Franc with 25% Merlot, this wine is mildly aromatic on the nose, showing red cherry, spice and violet. While the palate is medium in weight, a string of acidity cuts short the blackberry and cherry flavors. Grainy tannins build on the finish, with a shock of cranberry and vanilla marking the close.",Reserve Right Bank Crain Hill Vineyard,85,60,Michigan,Leelanau Peninsula,,Alexander Peartree,,Brengman Brothers 2013 Reserve Right Bank Crain Hill Vineyard Red (Leelanau Peninsula),Bordeaux-style Red Blend,Brengman Brothers
55128,US,"Delicate pink in color, this rosÃ© boasts a strawberries-and-cream character, with a jalapeÃ±o kick. Showing a touch of breadth on the palate, this light-bodied sipper is an easy choice for an apÃ©ritif.",Crain Hill Vineyard,85,25,Michigan,Leelanau Peninsula,,Alexander Peartree,,Brengman Brothers 2014 Crain Hill Vineyard RosÃ© (Leelanau Peninsula),RosÃ©,Brengman Brothers
55297,US,"Aromas of roasted almond and pecan meet dried fig and date tones. The caramel-toffee laden palate brings an additional hint of brown-sugar-dusted walnut. While the acids are slightly sharp and the alcohol a bit abrasive, the sweet tones eventually balance things out, making it an easy sipper.",Solera Cream,86,16,Michigan,Lake Michigan Shore,,Alexander Peartree,,St. Julian NV Solera Cream Sherry (Lake Michigan Shore),Sherry,St. Julian
55420,US,"Bright and lifted on the nose, this bears aromas of lemon peel, green apple and white peach, with accents of honeyed nut and wilted rose. The flavors mirror the aromas, showing very good concentration and lively acidity. The medium-long finish is zesty, warm and fresh.",Proprietor's Reserve,86,20,Michigan,Old Mission Peninsula,,,,Chateau Chantal 2010 Proprietor's Reserve Pinot Gris (Old Mission Peninsula),Pinot Gris,Chateau Chantal
57044,US,"Light ruby in color, with slight bricking, this Cabernet Franc has aromas of red cherry and currant, dusted by notes of violets and iron. While light bodied in feel, what's there is concentrated and persistent, offering a palate of vibrant red berries lined with cedar oil and savory game. Delicate black-tea tannins offer just enough support and make this an approachable wine to enjoy now.",,90,29,Michigan,Old Mission Peninsula,,Alexander Peartree,,Mari 2011 Cabernet Franc (Old Mission Peninsula),Cabernet Franc,Mari
57063,US,"Nicely concentrated aromas of black currants meet tobacco, bell pepper and pencil lead on the nose. There's great verve and tenison on the medium-bodied palate, with tart blackberries against a backdrop of graphite and cocoa dust.",,89,45,Michigan,Leelanau Peninsula,,Alexander Peartree,,Gill's Pier 2012 Cabernet Franc-Merlot (Leelanau Peninsula),Cabernet Franc-Merlot,Gill's Pier
57352,US,"Tight-lipped aromas of golden fig and dried strawberry are underpinned by a touch of chocolate. Supple and chocolaty tasting on the palate, this has balanced tannins and acids that lend just-enough structural support.",,85,18,Missouri,Augusta,,,,Augusta Winery 2009 Norton (Augusta),Norton,Augusta Winery
57841,US,"Fresh peach and pear mark the nose and palate. The intensity is bright yet fleeting on the midpalate. Overall this is quite enjoyable, with balanced acidity, making it a quite enjoyable every-day white.",Barrel Reserve,86,20,Michigan,Old Mission Peninsula,,Alexander Peartree,,Hawthorne 2014 Barrel Reserve Auxerrois (Old Mission Peninsula),Auxerrois,Hawthorne
57850,US,"Having seen 20 months in French oak, the aromas of this wine are dominated by cola and rooibos tones. The light- to medium-bodied palate shows more fruit tones, with juicy red cherry and black currant taking on an almost candied flavor. Sandy tannins and a line of acidity give enough support to keep this Pinot in check.",Katherine & Martha's Vineyard Hill Road Vineyard,86,59,Michigan,Lake Michigan Shore,,Alexander Peartree,,Nathaniel Rose 2013 Katherine & Martha's Vineyard Hill Road Vineyard Pinot Noir (Lake Michigan Shore),Pinot Noir,Nathaniel Rose
